epoch,loss,val_loss
0,0.3199208676815033,0.08487863093614578
1,0.058220524340867996,0.05817674100399017
2,0.033662088215351105,0.04684241861104965
3,0.022061167284846306,0.041255395859479904
4,0.013477152213454247,0.041517358273267746
5,0.010124935768544674,0.03899325802922249
6,0.006989925634115934,0.036826904863119125
7,0.0052064936608076096,0.03532477468252182
8,0.00409917114302516,0.032512765377759933
9,0.0041955942288041115,0.034537363797426224
10,0.0032764985226094723,0.03191978484392166
11,0.003035201458260417,0.030616724863648415
12,0.0028250613249838352,0.029988426715135574
13,0.0022419150918722153,0.029723500832915306
14,0.0020943034905940294,0.027926795184612274
15,0.0019232559716328979,0.027367407456040382
16,0.00154718232806772,0.027163617312908173
17,0.0014616380212828517,0.02824796736240387
18,0.0015127523802220821,0.027277156710624695
19,0.0016777145210653543,0.02609260007739067
20,0.0012485209153965116,0.02850947715342045
21,0.001024280791170895,0.024867292493581772
22,0.0010322255548089743,0.026505330577492714
23,0.0011374694295227528,0.025389445945620537
24,0.0009752631885930896,0.02613680809736252
25,0.0008689546375535429,0.02388840727508068
26,0.0011042063124477863,0.024483732879161835
27,0.0008749255794100463,0.024862704798579216
28,0.001257888856343925,0.023660751059651375
29,0.0008651911630295217,0.022740773856639862
30,0.0007382645853795111,0.022447898983955383
31,0.0006997630698606372,0.024498185142874718
32,0.0007306539919227362,0.02493656799197197
33,0.0006675995537079871,0.024366185069084167
34,0.0005779390339739621,0.024385489523410797
35,0.0005950877093710005,0.024906426668167114
36,0.0005942146526649594,0.02685633674263954
37,0.0005340069183148444,0.024621257558465004
